ID,Sub Tag Path,FIELD <Equip_Description>
Line1_Liquid_31,[default]SPG/Line 1/Mixer/SYS_7_GIW1/HR/Equip_Description,Line 1 GIW FROM RESIN TANK
Line1_Liquid_32,[default]SPG/Line 1/Mixer/SYS_7_GIW1/LR/Equip_Description,Line 1 GIW FROM RESIN TANK
Line1_Liquid_33,[default]SPG/Line 1/Mixer/SYS_7_GIW1/OC/Equip_Description,Line 1 GIW FROM RESIN TANK
Line1_Liquid_34,[default]SPG/Line 1/Mixer/SYS_7_GIW1/OT/Equip_Description,Line 1 GIW FROM RESIN TANK
Line1_Liquid_35,[default]SPG/Line 1/Mixer/SYS_7_GIW1/SD/Equip_Description,Line 1 GIW FROM RESIN TANK
Line1_Liquid_36,[default]SPG/Line 1/Mixer/SYS_7_GIW1/SE/Equip_Description,Line 1 GIW FROM RESIN TANK
Line1_Liquid_37,[default]SPG/Line 1/Mixer/SYS_7_GIW1/SF/Equip_Description,Line 1 GIW FROM RESIN TANK
Line1_Liquid_38,[default]SPG/Line 1/Mixer/SYS_7_GIW1/SS/Equip_Description,Line 1 GIW FROM RESIN TANK
Line1_Liquid_39,[default]SPG/Line 1/Mixer/SYS_7_GIW1/UT/Equip_Description,Line 1 GIW FROM RESIN TANK
Line1_Liquid_40,[default]SPG/Line 1/Mixer/SYS_7_GIW1/ZT/Equip_Description,Line 1 GIW FROM RESIN TANK
Line1_Mixer_41,[default]SPG/Line 1/Mixer/SYS_1_LIW/HR/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_42,[default]SPG/Line 1/Mixer/SYS_1_LIW/LR/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_43,[default]SPG/Line 1/Mixer/SYS_1_LIW/OC/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_44,[default]SPG/Line 1/Mixer/SYS_1_LIW/OT/Equip_Description,Line 1 Liquid Scale
Line1_Mixer_45,[default]SPG/Line 1/Mixer/SYS_1_LIW/SD/Equip_Description,Line 1 Liquid Scale
